rank_test_score,mean_test_score,std_test_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
180,0.8305012888562058,0.006958187053530491,gini,20,4,32
181,0.8302272641206405,0.004826722988751258,gini,30,1,64
182,0.8301814872698522,0.005418733900877688,entropy,30,2,64
183,0.8299531141976985,0.005052188656900035,entropy,30,1,64
184,0.8297246993964194,0.005607445118588329,entropy,,2,64
185,0.8295421240396171,0.004466159735921675,gini,,1,64
186,0.8291311025846916,0.006384636217422113,gini,,8,32
186,0.8291311025846916,0.006384636217422113,gini,30,8,32
188,0.8290853361661845,0.005243309570811647,entropy,,1,64
189,0.8281263382660985,0.005469410998657532,gini,20,2,32
190,0.8273954526311311,0.005994159354755972,entropy,20,4,16
191,0.8273042953562472,0.00521988233596164,entropy,20,8,2
191,0.8273042953562472,0.00521988233596164,entropy,20,8,8
191,0.8273042953562472,0.00521988233596164,entropy,20,8,4
191,0.8273042953562472,0.00521988233596164,entropy,20,8,16
195,0.827167121288103,0.005214942727393881,gini,20,1,32
196,0.8269386230285727,0.007765565212413115,gini,30,4,32
197,0.8263905422605982,0.007566595243274869,gini,,4,32
198,0.8258425866800003,0.005895912510765764,gini,20,8,8
198,0.8258425866800003,0.005895912510765764,gini,20,8,4
198,0.8258425866800003,0.005895912510765764,gini,20,8,16
198,0.8258425866800003,0.005895912510765764,gini,20,8,2
202,0.8257965594544585,0.006464818495677683,entropy,20,2,16
203,0.8252031504237957,0.0059625164998135345,entropy,,8,32
204,0.8251574987603842,0.0058630417583537325,entropy,30,8,32
205,0.8246547045259722,0.006716216727864533,entropy,20,1,16
206,0.8231932775213233,0.004415156613557285,gini,20,4,16
207,0.8231475423996606,0.007452904092382274,entropy,30,4,32
208,0.8224167402229442,0.006071172756050194,entropy,20,2,8
209,0.8222341022724533,0.00696095694153357,entropy,,4,32
210,0.8219599523495115,0.005661899240768019,entropy,20,1,8
211,0.8219145301962907,0.004402103169061554,gini,20,2,16
212,0.8217774813155232,0.005683679991908348,gini,30,2,32
213,0.8215947494745001,0.006303861231231416,entropy,20,4,8
213,0.8215947494745001,0.006303861231231416,entropy,20,4,2
213,0.8215947494745001,0.006303861231231416,entropy,20,4,4
216,0.8212750939400859,0.00522955348953389,gini,,2,32
217,0.8211833524574438,0.007662551643718079,entropy,30,2,32
218,0.821137669497188,0.009100523884471653,entropy,30,1,32
219,0.8208638221104068,0.004860847945792391,entropy,20,1,2
220,0.820452539848446,0.008526870505398626,entropy,,2,32
221,0.8203158456652462,0.0044523717639371645,gini,20,1,16
222,0.8203158143684022,0.006646720722013653,gini,30,8,2
222,0.8203158143684022,0.006646720722013653,gini,30,8,8
222,0.8203158143684022,0.006646720722013653,gini,30,8,16
222,0.8203158143684022,0.006646720722013653,gini,30,8,4
226,0.8202243754219205,0.0057182980427491455,entropy,20,1,4
227,0.819996106672581,0.006284973488671704,gini,,8,8
227,0.819996106672581,0.006284973488671704,gini,,8,16
227,0.819996106672581,0.006284973488671704,gini,,8,2
227,0.819996106672581,0.006284973488671704,gini,,8,4
231,0.8199047407520693,0.00443551713928619,entropy,20,2,4
231,0.8199047407520693,0.00443551713928619,entropy,20,2,2
233,0.8188082245185528,0.00931248982963876,entropy,,1,32
234,0.8184431051017924,0.005547797379206919,gini,30,1,32
235,0.8179863380929225,0.005910803793661031,gini,,1,32
236,0.8179863172283598,0.004459263782457855,gini,20,4,2
236,0.8179863172283598,0.004459263782457855,gini,20,4,8
236,0.8179863172283598,0.004459263782457855,gini,20,4,4
239,0.8174842636859274,0.00428205891913588,gini,20,2,8
240,0.817301396225246,0.004261559759212015,gini,20,1,8
241,0.8157026908296388,0.004355384605468947,gini,30,4,16
242,0.8152919614785923,0.002557762653465348,gini,20,2,4
242,0.8152919614785923,0.002557762653465348,gini,20,2,2
244,0.8146980621307037,0.0031547031893152575,gini,20,1,4
245,0.8146522122539455,0.0041264737961097895,gini,,4,16
246,0.8141496266651617,0.005249840391569951,entropy,,8,8
246,0.8141496266651617,0.005249840391569951,entropy,,8,16
246,0.8141496266651617,0.005249840391569951,entropy,,8,4
246,0.8141496266651617,0.005249840391569951,entropy,,8,2
250,0.8141040688922827,0.0035484013522893323,gini,20,1,2
251,0.81410397500175,0.00446891016625212,entropy,30,8,4
251,0.81410397500175,0.00446891016625212,entropy,30,8,2
251,0.81410397500175,0.00446891016625212,entropy,30,8,8
251,0.81410397500175,0.00446891016625212,entropy,30,8,16
255,0.812505196580173,0.006311660994753905,entropy,30,4,16
256,0.8097647197143308,0.006755656827947768,entropy,30,2,16
257,0.80967351027804,0.005356906821780942,gini,30,2,16
258,0.8092621967192354,0.008587678781138723,entropy,30,1,16
259,0.8092167224046074,0.005284077692885414,entropy,,4,16
260,0.8090339592667399,0.006211536322162604,gini,,2,16
261,0.8075269640569307,0.003943201671184425,gini,30,4,4
261,0.8075269640569307,0.003943201671184425,gini,30,4,8
261,0.8075269640569307,0.003943201671184425,gini,30,4,2
264,0.8072069746895119,0.006810763534968521,entropy,,2,16
265,0.8066591964576979,0.002930339100112852,gini,,4,8
265,0.8066591964576979,0.002930339100112852,gini,,4,4
265,0.8066591964576979,0.002930339100112852,gini,,4,2
268,0.8063392905485305,0.006395225339191897,gini,30,1,16
269,0.8057909489735209,0.006924086466935018,entropy,,1,16
270,0.8054713664650768,0.007134639703104872,gini,,1,16
271,0.8035529951027742,0.006950801825013007,entropy,30,4,2
271,0.8035529951027742,0.006950801825013007,entropy,30,4,4
271,0.8035529951027742,0.006950801825013007,entropy,30,4,8
274,0.8027765308303648,0.007034550707313126,entropy,,4,4
274,0.8027765308303648,0.007034550707313126,entropy,,4,2
274,0.8027765308303648,0.007034550707313126,entropy,,4,8
277,0.8018174181751831,0.0069835245229164355,entropy,30,2,8
278,0.8014518814671667,0.009456685722011625,entropy,30,1,8
279,0.8010866368630296,0.005923958855061359,entropy,30,2,2
279,0.8010866368630296,0.005923958855061359,entropy,30,2,4
281,0.8009499948412369,0.0042485161754602695,gini,30,2,8
282,0.8006758553505764,0.004954748448722858,gini,,2,8
283,0.7988029687351829,0.005237672174348965,entropy,,2,8
